x,y,category,POI_count
1,41,Hair Salon,23
2,45,Clothes Store,20
15,7,Clothes Store,29
15,8,Japanese restaurant,30
15,8,Pub,29
15,8,Bar,20
16,7,Japanese restaurant,21
16,8,Transit Station,19
17,23,Convenience Store,20
24,5,Retail Store,21
35,1,Real Estate,23
35,4,Clothes Store,41
35,4,Bank,20
40,2,Real Estate,19
41,100,Hotel,28
44,1,Real Estate,33
44,1,Cram School,26
44,1,Accountant Office,21
44,1,Hair Salon,20
44,2,DIY Store,90
44,2,Clothes Store,25
44,2,Accountant Office,21
44,3,Japanese restaurant,27
44,3,Hair Salon,25
44,3,Bank,25
44,3,Transit Station,25
44,3,Clothes Store,23
44,3,Heavy Industry,22
44,4,Church,26
45,5,Real Estate,27
46,2,NPO,20
46,3,NPO,46
47,2,NPO,29
47,2,Cram School,19
47,3,Japanese restaurant,37
47,3,Transit Station,36
47,3,Cram School,34
47,3,NPO,33
47,3,Bank,32
47,3,Real Estate,29
47,3,Accountant Office,25
47,3,Bar,25
47,3,Hair Salon,21
47,4,NPO,26
47,5,NPO,19
48,3,Real Estate,26
49,4,Real Estate,25
49,5,Real Estate,20
50,175,Real Estate,20
50,177,Real Estate,25
52,179,Accountant Office,32
52,179,Lawyer Office,20
53,6,Real Estate,19
53,177,Bar,70
53,177,Japanese restaurant,53
53,177,Transit Station,40
53,177,Bank,32
53,177,Hair Salon,29
53,177,Clothes Store,24
53,177,Wine Bar,23
53,177,Café,22
53,178,Clothes Store,39
53,178,Japanese restaurant,33
53,178,Bank,27
53,178,Real Estate,26
53,178,Bar,24
53,178,Wine Bar,23
53,178,Heavy Industry,21
53,178,Hair Salon,20
53,178,Accountant Office,19
54,173,Real Estate,25
54,177,Japanese restaurant,27
54,177,Bar,27
54,177,Transit Station,24
54,177,Wine Bar,23
54,178,Clothes Store,24
54,178,Church,23
54,178,Japanese restaurant,19
58,178,Driving School,20
65,169,Heavy Industry,22
66,171,Clothes Store,19
69,18,Real Estate,24
73,112,Clothes Store,29
74,104,Heavy Industry,19
74,110,Clothes Store,19
75,7,Clothes Store,38
75,7,Convenience Store,30
75,9,Bar,24
75,9,Japanese restaurant,20
77,66,Clothes Store,21
77,112,Real Estate,21
78,85,Real Estate,19
79,86,Hair Salon,19
83,112,Heavy Industry,22
84,22,Retail Store,37
84,108,Heavy Industry,27
85,118,Clothes Store,20
86,132,Transit Station,24
87,130,Bank,21
88,101,Convenience Store,22
88,133,Clothes Store,83
88,133,Sweets ,34
88,133,DIY Store,27
88,133,Bank,22
88,133,Japanese restaurant,19
88,133,Interior Shop,19
89,125,Retail Store,20
89,133,Accountant Office,19
90,20,Real Estate,22
90,124,Real Estate,19
91,20,Real Estate,25
91,134,Japanese restaurant,32
91,134,Bar,32
91,134,Transit Station,29
91,134,Cram School,24
91,134,Hair Salon,20
92,23,Real Estate,24
92,117,NPO,25
92,118,Bar,30
92,118,Clothes Store,25
92,118,Hair Salon,24
92,118,Japanese restaurant,21
92,133,Bank,30
92,133,Clothes Store,29
92,133,Transit Station,20
92,133,Hair Salon,20
92,134,Accountant Office,22
92,134,Clothes Store,20
92,134,Café,19
92,134,Hair Salon,19
92,135,Heavy Industry,20
93,20,Real Estate,21
93,21,Real Estate,30
93,23,Real Estate,30
93,24,Real Estate,25
93,25,Accountant Office,19
93,98,Heavy Industry,20
93,133,Hair Salon,20
94,22,Real Estate,24
94,23,Real Estate,33
94,23,Bank,20
94,24,DIY Store,88
94,24,Clothes Store,63
94,24,Transit Station,57
94,24,Bank,46
94,24,Japanese restaurant,45
94,24,Hair Salon,45
94,24,Sweets ,38
94,24,Bar,37
94,24,Real Estate,30
94,24,Accountant Office,26
94,24,Cram School,26
94,24,Wine Bar,21
94,24,Heavy Industry,19
94,25,Bar,111
94,25,Japanese restaurant,96
94,25,Transit Station,49
94,25,Wine Bar,48
94,25,Clothes Store,38
94,25,Hair Salon,35
94,25,Western restaurant,25
94,25,Real Estate,22
95,21,Real Estate,27
95,22,Real Estate,19
95,23,Real Estate,26
95,24,Real Estate,21
95,24,Japanese restaurant,19
96,95,Clothes Store,40
97,27,Heavy Industry,19
97,28,Heavy Industry,19
97,131,Heavy Industry,19
98,117,Transit Station,19
99,102,Bar,52
99,102,Japanese restaurant,40
99,102,Transit Station,31
99,102,Wine Bar,31
99,102,Cram School,20
99,103,Heavy Industry,20
100,111,Clothes Store,25
101,112,Heavy Industry,19
102,32,Clothes Store,20
102,109,Bar,22
104,97,Real Estate,21
105,79,Bar,23
105,79,Transit Station,20
105,106,Heavy Industry,23
106,46,Clothes Store,76
106,46,DIY Store,28
106,75,Heavy Industry,36
107,46,Clothes Store,23
107,78,Heavy Industry,22
107,92,Real Estate,19
108,95,Heavy Industry,28
109,65,Port,23
109,93,Heavy Industry,44
109,95,Heavy Industry,20
111,90,Clothes Store,62
111,90,Bank,27
111,130,Real Estate,20
113,16,Clothes Store,28
113,16,Bank,20
113,21,Heavy Industry,19
113,38,Bank,21
113,82,Heavy Industry,19
113,84,Heavy Industry,23
113,85,Heavy Industry,23
114,37,Transit Station,20
114,38,Bar,30
114,38,Transit Station,22
114,38,Japanese restaurant,20
114,39,Church,21
114,84,Heavy Industry,32
114,85,Heavy Industry,30
114,86,Heavy Industry,24
115,33,Convenience Store,37
115,33,Clothes Store,28
115,79,Retail Store,21
115,86,Heavy Industry,19
115,91,Heavy Industry,24
116,86,Heavy Industry,40
116,89,Heavy Industry,29
116,90,Real Estate,22
117,87,Heavy Industry,33
117,132,Transit Station,21
117,132,Japanese restaurant,21
117,132,Real Estate,20
118,66,Port,20
118,87,Heavy Industry,19
118,90,Heavy Industry,35
118,90,Driving School,21
118,131,Bar,37
118,131,Hair Salon,29
118,131,Japanese restaurant,23
118,131,Transit Station,21
118,131,Real Estate,20
118,132,Clothes Store,58
118,132,Bar,57
118,132,Japanese restaurant,51
118,132,Hair Salon,46
118,132,Real Estate,39
118,132,Transit Station,39
118,132,Bank,28
118,132,Cram School,20
118,132,Wine Bar,20
118,133,Transit Station,28
118,133,Real Estate,19
119,70,Heavy Industry,24
119,77,Port,47
119,77,NPO,21
119,100,Clothes Store,23
119,135,Transit Station,38
119,136,Transit Station,21
120,72,Heavy Industry,22
120,77,Transit Station,24
120,77,Port,20
120,87,Transit Station,19
120,90,Heavy Industry,21
120,91,Heavy Industry,19
120,110,Clothes Store,58
121,65,Clothes Store,34
121,84,Heavy Industry,27
121,86,Heavy Industry,21
121,91,Heavy Industry,19
121,92,Real Estate,22
122,77,Clothes Store,45
122,82,Real Estate,20
122,84,Heavy Industry,23
122,86,Real Estate,21
122,88,Real Estate,24
122,91,Heavy Industry,41
123,69,Real Estate,21
123,77,Real Estate,22
123,78,Real Estate,30
123,82,Real Estate,26
123,83,Heavy Industry,22
123,84,Heavy Industry,55
123,86,Real Estate,19
123,88,Convenience Store,24
124,64,Real Estate,25
124,70,Heavy Industry,29
124,71,Heavy Industry,32
124,72,Heavy Industry,24
124,83,Real Estate,27
124,85,Transit Station,21
124,85,Heavy Industry,19
124,86,Real Estate,22
124,87,Real Estate,26
124,88,Real Estate,40
124,88,Transit Station,36
124,88,Hair Salon,28
124,88,Cram School,26
124,89,Real Estate,36
124,90,Real Estate,19
124,105,Clothes Store,20
125,71,Heavy Industry,22
125,78,Real Estate,26
125,78,Transit Station,23
125,78,Heavy Industry,19
125,79,Real Estate,33
125,82,Church,31
125,83,Transit Station,23
125,85,Real Estate,25
125,88,Real Estate,27
125,88,Transit Station,21
125,95,Heavy Industry,23
125,98,Real Estate,21
125,99,Real Estate,26
125,100,Real Estate,39
125,101,Real Estate,28
125,102,Real Estate,36
125,102,Hair Salon,25
125,102,Transit Station,25
125,104,Transit Station,25
125,104,Real Estate,21
125,104,Cram School,19
126,69,Real Estate,19
126,72,Real Estate,22
126,74,Heavy Industry,23
126,74,Driving School,21
126,74,Real Estate,20
126,76,Heavy Industry,20
126,77,Real Estate,27
126,78,Real Estate,24
126,78,Heavy Industry,22
126,79,Real Estate,24
126,83,Transit Station,24
126,85,Heavy Industry,20
126,86,Real Estate,21
126,87,Real Estate,21
126,88,Real Estate,25
126,95,Real Estate,19
126,96,Real Estate,22
126,97,Real Estate,21
126,98,Real Estate,29
126,98,Hair Salon,26
126,99,Real Estate,36
126,100,Real Estate,38
126,100,Cram School,24
126,100,Transit Station,19
127,71,Real Estate,19
127,73,Heavy Industry,22
127,75,Heavy Industry,19
127,78,Real Estate,22
127,79,Real Estate,27
127,82,Heavy Industry,23
127,82,Real Estate,22
127,85,Real Estate,19
127,87,Real Estate,23
127,95,Real Estate,31
127,96,Real Estate,34
127,96,Hair Salon,20
127,97,Real Estate,33
127,103,Real Estate,29
128,63,Real Estate,21
128,70,Real Estate,19
128,71,Real Estate,26
128,73,Real Estate,19
128,74,Heavy Industry,22
128,76,Heavy Industry,21
128,79,Heavy Industry,28
128,80,Retail Store,79
128,81,Real Estate,19
128,82,Heavy Industry,37
128,82,Clothes Store,37
128,82,Bank,21
128,87,Real Estate,50
128,87,Transit Station,26
128,93,Hair Salon,36
128,93,Transit Station,27
128,93,Real Estate,23
128,93,Bank,20
128,93,Cram School,19
128,97,Real Estate,25
129,70,Real Estate,20
129,71,Real Estate,54
129,71,Transit Station,25
129,72,Real Estate,34
129,74,Heavy Industry,22
129,75,Heavy Industry,27
129,76,Heavy Industry,19
129,77,Heavy Industry,22
129,77,Real Estate,22
129,78,Real Estate,29
129,79,Transit Station,36
129,79,Real Estate,34
129,80,Real Estate,49
129,80,Transit Station,33
129,80,Heavy Industry,22
129,80,Accountant Office,21
129,81,Bar,105
129,81,Hair Salon,79
129,81,Japanese restaurant,77
129,81,Transit Station,61
129,81,Bank,42
129,81,Real Estate,38
129,81,Hospital,32
129,81,Accountant Office,32
129,81,Heavy Industry,27
129,81,Western restaurant,27
129,81,Wine Bar,25
129,81,Cram School,23
129,81,Café,23
129,81,Fishing,21
129,81,Laundry ,21
129,81,BBQ restaurant,19
129,81,Post Office,19
129,82,Heavy Industry,28
129,82,Transit Station,20
129,82,Real Estate,19
129,84,Heavy Industry,29
129,86,Real Estate,22
129,87,Real Estate,38
129,87,Transit Station,22
129,88,Real Estate,32
129,90,Real Estate,19
129,91,Real Estate,19
129,92,Real Estate,23
129,93,Real Estate,19
130,56,Real Estate,19
130,68,Real Estate,26
130,70,Real Estate,32
130,71,Real Estate,31
130,71,Transit Station,22
130,72,Real Estate,32
130,74,Real Estate,33
130,77,Heavy Industry,24
130,77,Real Estate,20
130,78,Real Estate,23
130,79,Transit Station,26
130,80,Real Estate,28
130,80,Heavy Industry,25
130,80,Transit Station,21
130,81,Real Estate,56
130,81,Transit Station,55
130,81,Accountant Office,46
130,81,Heavy Industry,37
130,81,Bar,25
130,81,Hair Salon,25
130,81,Japanese restaurant,22
130,81,Lawyer Office,19
130,82,Real Estate,37
130,82,Heavy Industry,29
130,82,Transit Station,27
130,83,Heavy Industry,31
130,83,Real Estate,25
130,84,Heavy Industry,27
130,84,Transit Station,19
130,85,Real Estate,26
130,86,Real Estate,36
130,87,Real Estate,47
130,87,Cram School,26
130,87,Hair Salon,21
130,88,Real Estate,39
130,88,Transit Station,25
130,88,Hair Salon,22
130,89,Real Estate,36
130,90,Real Estate,56
130,91,Real Estate,21
130,100,Real Estate,21
131,71,Real Estate,28
131,72,Real Estate,21
131,73,Real Estate,24
131,75,Real Estate,29
131,76,Heavy Industry,20
131,77,Heavy Industry,23
131,79,Real Estate,25
131,80,Real Estate,31
131,80,Transit Station,26
131,80,Heavy Industry,26
131,81,Real Estate,33
131,81,Transit Station,31
131,81,Heavy Industry,25
131,82,Real Estate,56
131,82,Transit Station,52
131,82,Heavy Industry,31
131,83,Real Estate,80
131,83,Transit Station,41
131,83,Heavy Industry,29
131,84,Transit Station,20
131,84,Heavy Industry,20
131,85,Real Estate,23
131,86,Real Estate,35
131,87,Real Estate,34
131,87,Transit Station,27
131,88,Real Estate,36
131,88,Transit Station,23
131,89,Real Estate,31
131,90,Real Estate,26
131,91,Real Estate,27
131,92,Real Estate,38
131,101,Real Estate,28
131,102,Real Estate,19
131,104,Real Estate,27
131,106,Real Estate,21
132,71,Real Estate,32
132,71,Transit Station,23
132,72,Real Estate,28
132,74,Real Estate,38
132,78,Real Estate,44
132,78,Transit Station,19
132,79,Real Estate,42
132,79,Transit Station,31
132,80,Real Estate,53
132,80,Transit Station,41
132,80,Hair Salon,20
132,81,Clothes Store,117
132,81,Transit Station,79
132,81,Café,56
132,81,Sweets ,54
132,81,Japanese restaurant,47
132,81,Real Estate,43
132,81,Hair Salon,37
132,81,Interior Shop,34
132,81,Heavy Industry,31
132,81,Accountant Office,27
132,81,Bar,23
132,81,Cemetary,22
132,81,Retail Store,21
132,82,Accountant Office,65
132,82,Real Estate,61
132,82,Transit Station,44
132,82,Heavy Industry,38
132,82,Hair Salon,32
132,82,Café,26
132,82,Bank,24
132,82,Clothes Store,23
132,82,Japanese restaurant,23
132,82,Sweets ,21
132,82,Retail Store,20
132,82,Hospital,20
132,83,Real Estate,73
132,83,Transit Station,55
132,83,Heavy Industry,29
132,83,Accountant Office,23
132,83,Japanese restaurant,20
132,84,Real Estate,44
132,84,Transit Station,31
132,84,Heavy Industry,24
132,86,Transit Station,23
132,87,Transit Station,29
132,87,Real Estate,27
132,88,Real Estate,50
132,88,Transit Station,28
132,89,Real Estate,25
132,90,Real Estate,19
132,91,Real Estate,28
132,92,Real Estate,29
132,93,Real Estate,30
132,95,Real Estate,22
132,101,Real Estate,19
133,71,Real Estate,32
133,72,Real Estate,30
133,74,Real Estate,29
133,75,Real Estate,24
133,76,Real Estate,24
133,78,Transit Station,33
133,78,Heavy Industry,32
133,79,Transit Station,44
133,79,Real Estate,34
133,80,Transit Station,59
133,80,Real Estate,55
133,80,Accountant Office,37
133,80,Heavy Industry,34
133,80,Hair Salon,22
133,81,Transit Station,78
133,81,Clothes Store,73
133,81,Hair Salon,51
133,81,Real Estate,38
133,81,Accountant Office,36
133,81,Café,29
133,81,Heavy Industry,22
133,82,Clothes Store,151
133,82,Hair Salon,115
133,82,DIY Store,92
133,82,Transit Station,66
133,82,Real Estate,38
133,82,Café,38
133,82,Japanese restaurant,34
133,82,Sweets ,33
133,82,Accountant Office,31
133,82,Heavy Industry,26
133,82,Hospital,26
133,82,Bank,22
133,82,Fishing,22
133,82,Sports Store,20
133,82,Interior Shop,19
133,83,Real Estate,81
133,83,Transit Station,54
133,83,Heavy Industry,40
133,83,Hair Salon,29
133,83,Accountant Office,26
133,83,Japanese restaurant,20
133,84,Real Estate,65
133,84,Transit Station,34
133,85,Real Estate,33
133,85,Transit Station,19
133,86,Real Estate,32
133,87,Real Estate,50
133,88,Real Estate,59
133,88,Transit Station,21
133,88,Accountant Office,20
133,89,Real Estate,33
133,90,Real Estate,26
133,91,Real Estate,37
133,92,Real Estate,34
133,93,Real Estate,49
133,93,Hair Salon,43
133,93,Transit Station,37
133,93,Cram School,35
133,93,Hospital,21
133,94,Real Estate,72
133,94,Transit Station,22
133,95,Real Estate,47
133,95,Transit Station,27
133,95,Hair Salon,19
133,97,DIY Store,61
133,97,Clothes Store,49
133,97,Sweets ,24
133,97,Real Estate,23
133,98,Real Estate,23
133,98,Cram School,21
133,99,Real Estate,28
133,100,Real Estate,20
134,70,Real Estate,32
134,71,Real Estate,60
134,71,Transit Station,26
134,71,Hair Salon,24
134,71,Laundry ,19
134,72,Real Estate,57
134,72,Transit Station,23
134,73,Real Estate,40
134,73,Transit Station,20
134,74,Real Estate,50
134,74,Transit Station,24
134,75,Real Estate,47
134,75,Transit Station,38
134,76,Transit Station,80
134,76,Real Estate,36
134,76,Japanese restaurant,35
134,76,Heavy Industry,33
134,76,Accountant Office,30
134,76,Bar,27
134,76,Hotel,26
134,76,Hair Salon,24
134,77,DIY Store,236
134,77,Clothes Store,92
134,77,Japanese restaurant,64
134,77,Sweets ,57
134,77,Transit Station,52
134,77,Bank,34
134,77,Hair Salon,24
134,77,Café,23
134,77,Bar,20
134,77,Accountant Office,20
134,78,Heavy Industry,115
134,78,Transit Station,100
134,78,Japanese restaurant,81
134,78,Hair Salon,69
134,78,Bar,65
134,78,Accountant Office,64
134,78,Real Estate,57
134,78,Bank,48
134,78,Retail Store,48
134,78,Hospital,43
134,78,IT Office,40
134,78,Recruitment Office,37
134,78,Laundry ,31
134,78,Wine Bar,27
134,78,Building Material,26
134,78,NPO,24
134,78,Clothes Store,24
134,78,Lawyer Office,24
134,78,Fishing,21
134,78,Parking Area,20
134,78,Western restaurant,19
134,79,Heavy Industry,77
134,79,Transit Station,74
134,79,Accountant Office,63
134,79,Japanese restaurant,51
134,79,Real Estate,38
134,79,Retail Store,31
134,79,Laundry ,26
134,79,Bar,26
134,79,IT Office,23
134,79,Hair Salon,20
134,79,Bank,20
134,80,Accountant Office,133
134,80,Heavy Industry,101
